AREAS;SITES;TECHNOLOGIES;PERCENTAGES
920440109;616887;3G;1
920440109;616887;5G;1
920440109;1283918;3G;1
920440109;1283918;5G;1
920440109;616887;4G;1
920440109;1283918;4G;1
920090106;654982;3G;1
920090106;654982;5G;1
920090106;752240;3G;1
920090106;752240;5G;1
920090106;654982;4G;1
920090106;752240;4G;1
920630104;791331;3G;1
920630104;791331;5G;1
920630104;1725912;3G;1
920630104;1725912;5G;1
920630104;655552;3G;1
920630104;655552;5G;1
920630104;791331;4G;1
920630104;1725912;4G;1
920630104;655552;4G;1
920440121;1206077;3G;1
920440121;1206077;5G;1
920440121;1206077;4G;1
920400505;1377683;3G;1
920400505;1377683;5G;1
920400505;2201932;3G;1
920400505;2201932;5G;1
920400505;1377683;4G;1
920400505;2201932;4G;1
920750103;524492;3G;1
920750103;524492;5G;1
920750103;1978807;3G;1
920750103;1978807;5G;1
920750103;435140;3G;1
920750103;435140;5G;1
920750103;524492;4G;1
920750103;1978807;4G;1
920750103;435140;4G;1
920040702;555523;3G;1
920040702;555523;5G;1
920040702;2102727;3G;1
920040702;2102727;5G;1
920040702;457874;3G;1
920040702;457874;5G;1
920040702;555523;4G;1
920040702;2102727;4G;1
920040702;457874;4G;1
920510402;689796;3G;1
920510402;689796;5G;1
920510402;1992103;3G;1
920510402;1992103;5G;1
920510402;689796;4G;1
920510402;1992103;4G;1
920020306;705625;3G;1
920020306;705625;5G;1
920020306;705625;4G;1
920040602;1174708;3G;1
920040602;1174708;5G;1
920040602;465129;3G;1
920040602;465129;5G;1
920040602;1174708;4G;1
920040602;465129;4G;1
920510406;1592338;3G;1
920510406;1592338;5G;1
920510406;1592338;4G;1
920730102;2212401;3G;1
920730102;2212401;5G;1
920730102;1752032;3G;1
920730102;1752032;5G;1
920730102;2212401;4G;1
920730102;1752032;4G;1
920480101;748957;3G;1
920480101;748957;5G;1
920480101;1803927;3G;1
920480101;1803927;5G;1
920480101;1885000;3G;1
920480101;1885000;5G;1
920480101;748957;4G;1
920480101;1803927;4G;1
920480101;1885000;4G;1
920400102;710229;3G;1
920400102;710229;5G;1
920400102;2027208;3G;1
920400102;2027208;5G;1
920400102;534023;3G;1
920400102;534023;5G;1
920400102;710229;4G;1
920400102;2027208;4G;1
920400102;534023;4G;1
920120203;555576;3G;1
920120203;555576;5G;1
920120203;1490172;3G;1
920120203;1490172;5G;1
920120203;2551920;3G;1
920120203;2551920;5G;1
920120203;555576;4G;1
920120203;1490172;4G;1
920120203;2551920;4G;1
920350112;797753;3G;1
920350112;797753;5G;1
920350112;1954213;3G;1
920350112;1954213;5G;1
920350112;1417821;3G;1
920350112;1417821;5G;1
920350112;797753;4G;1
920350112;1954213;4G;1
920350112;1417821;4G;1
920400201;739298;3G;1
920400201;739298;5G;1
920400201;1903324;3G;1
920400201;1903324;5G;1
920400201;739298;4G;1
920400201;1903324;4G;1
920440107;616887;3G;1
920440107;616887;5G;1
920440107;1283918;3G;1
920440107;1283918;5G;1
920440107;616887;4G;1
920440107;1283918;4G;1
920510304;1530707;3G;1
920510304;1530707;5G;1
920510304;1865083;3G;1
920510304;1865083;5G;1
920510304;1530707;4G;1
920510304;1865083;4G;1
920730115;790347;3G;1
920730115;790347;5G;1
920730115;2300810;3G;1
920730115;2300810;5G;1
920730115;1752032;3G;1
920730115;1752032;5G;1
920730115;790347;4G;1
920730115;2300810;4G;1
920730115;1752032;4G;1
920220105;2308618;3G;1
920220105;2308618;5G;1
920220105;906160;3G;1
920220105;906160;5G;1
920220105;557730;3G;1
920220105;557730;5G;1
920220105;2308618;4G;1
920220105;906160;4G;1
920220105;557730;4G;1
920500511;1946834;3G;1
920500511;1946834;5G;1
920500511;568841;3G;1
920500511;568841;5G;1
920500511;1985996;3G;1
920500511;1985996;5G;1
920500511;1643610;3G;1
920500511;1643610;5G;1
920500511;572359;3G;1
920500511;572359;5G;1
920500511;1946834;4G;1
920500511;568841;4G;1
920500511;1985996;4G;1
920500511;1643610;4G;1
920500511;572359;4G;1
920510303;647255;3G;1
920510303;647255;5G;1
920510303;2135271;3G;1
920510303;2135271;5G;1
920510303;647255;4G;1
920510303;2135271;4G;1
920240102;545907;3G;1
920240102;545907;5G;1
920240102;1413146;3G;1
920240102;1413146;5G;1
920240102;603864;3G;1
920240102;603864;5G;1
920240102;545907;4G;1
920240102;1413146;4G;1
920240102;603864;4G;1
920240101;1624049;3G;1
920240101;1624049;5G;1
920240101;1624049;4G;1
920120706;2052502;3G;1
920120706;2052502;5G;1
920120706;628453;3G;1
920120706;628453;5G;1
920120706;627954;3G;1
920120706;627954;5G;1
920120706;2052502;4G;1
920120706;628453;4G;1
920120706;627954;4G;1
920730110;723412;3G;1
920730110;723412;5G;1
920730110;2536154;3G;1
920730110;2536154;5G;1
920730110;653329;3G;1
920730110;653329;5G;1
920730110;723412;4G;1
920730110;2536154;4G;1
920730110;653329;4G;1
920630706;829025;3G;1
920630706;829025;5G;1
920630706;588427;3G;1
920630706;588427;5G;1
920630706;829025;4G;1
920630706;588427;4G;1
920630703;2536154;3G;1
920630703;2536154;5G;1
920630703;588427;3G;1
920630703;588427;5G;1
920630703;2536154;4G;1
920630703;588427;4G;1
920240103;326958;3G;1
920240103;326958;5G;1
920240103;1624049;3G;1
920240103;1624049;5G;1
920240103;2137916;3G;1
920240103;2137916;5G;1
920240103;326958;4G;1
920240103;1624049;4G;1
920240103;2137916;4G;1
920250304;1280803;3G;1
920250304;1280803;5G;1
920250304;713191;3G;1
920250304;713191;5G;1
920250304;2156159;3G;1
920250304;2156159;5G;1
920250304;442172;3G;1
920250304;442172;5G;1
920250304;1280803;4G;1
920250304;713191;4G;1
920250304;2156159;4G;1
920250304;442172;4G;1
920480211;2751527;3G;1
920480211;2751527;5G;1
920480211;469542;3G;1
920480211;469542;5G;1
920480211;585638;3G;1
920480211;585638;5G;1
920480211;2751527;4G;1
920480211;469542;4G;1
920480211;585638;4G;1
920730114;2145245;3G;1
920730114;2145245;5G;1
920730114;553778;3G;1
920730114;553778;5G;1
920730114;2145245;4G;1
920730114;553778;4G;1
920500502;2074797;3G;1
920500502;2074797;5G;1
920500502;2149761;3G;1
920500502;2149761;5G;1
920500502;2074797;4G;1
920500502;2149761;4G;1
920630806;711008;3G;1
920630806;711008;5G;1
920630806;676208;3G;1
920630806;676208;5G;1
920630806;711008;4G;1
920630806;676208;4G;1
920640111;483764;3G;1
920640111;483764;5G;1
920640111;541311;3G;1
920640111;541311;5G;1
920640111;483764;4G;1
920640111;541311;4G;1
920760103;482547;3G;1
920760103;482547;5G;1
920760103;822163;3G;1
920760103;822163;5G;1
920760103;482547;4G;1
920760103;822163;4G;1
920350101;711247;3G;1
920350101;711247;5G;1
920350101;1978805;3G;1
920350101;1978805;5G;1
920350101;1284926;3G;1
920350101;1284926;5G;1
920350101;588814;3G;1
920350101;588814;5G;1
920350101;711247;4G;1
920350101;1978805;4G;1
920350101;1284926;4G;1
920350101;588814;4G;1
920260403;618342;3G;1
920260403;618342;5G;1
920260403;2262979;3G;1
920260403;2262979;5G;1
920260403;1898367;3G;1
920260403;1898367;5G;1
920260403;618342;4G;1
920260403;2262979;4G;1
920260403;1898367;4G;1
920120204;1297123;3G;1
920120204;1297123;5G;1
920120204;499870;3G;1
920120204;499870;5G;1
920120204;1297123;4G;1
920120204;499870;4G;1
920240503;1811421;3G;1
920240503;1811421;5G;1
920240503;871181;3G;1
920240503;871181;5G;1
920240503;1811421;4G;1
920240503;871181;4G;1
920510103;1623859;3G;1
920510103;1623859;5G;1
920510103;473432;3G;1
920510103;473432;5G;1
920510103;1623859;4G;1
920510103;473432;4G;1
920440105;726050;3G;1
920440105;726050;5G;1
920440105;1592338;3G;1
