id;adm_lb_nom;sup_id;emr_lb_systeme;emr_dt;sta_nm_dpt;code_insee;generation;date_maj;sta_nm_anfr;nat_id;sup_nm_haut;tpo_id;adr_lb_lieu;adr_lb_add1;adr_lb_add2;adr_lb_add3;adr_nm_cp;com_cd_insee;coordonnees;coord;statut
115032;BOUYGUES TELECOM;1741869;UMTS 900;31/05/2017;83;83050;3G;2025-10-02T15:15:22;832750820;26;25;72.0;;Traverse Leo Lagrange;STADE LOUIS GILLY;;83300;83050;43.53972222222222 , 6.4447222222222225;43°32'23''N 6°26'41''E;En service
334247;FREE MOBILE;2176323;UMTS 900;29/10/2021;74;74009;3G;2025-10-02T15:15:22;740990338;23;17;32.0;LES POURMONTS;V COMMUNALE N° 1 DE CHARLY;AU MONT SION;;74350;74009;46.07194444444445 , 6.0777777777777775;46°4'19''N 6°4'40''E;En service
593013;ORANGE;2610765;LTE 2100;30/09/2022;92;92063;4G;2025-10-02T15:15:22;922290721;38;28,5;9.0;;4 rue Jacques Daguerre;Bâtiment Concorde;;92500;92063;48.88944444444444 , 2.169722222222222;48°53'22''N 2°10'11''E;En service
422182;ORANGE;328635;UMTS 900;07/03/2016;10;10418;3G;2025-10-02T15:15:22;102290140;23;30;72.0;LE VAL VELUT;;;;10110;10418;48.09 , 4.303055555555555;48°5'24''N 4°18'11''E;En service
135750;BOUYGUES TELECOM;2077891;LTE 800;28/05/2019;33;33063;4G;2025-10-02T15:15:22;332750900;38;20,9;9.0;;17 R SEGALIER;;;33000;33063;44.842222222222226 , -0.5872222222222223;44°50'32''N 0°35'14''W;En service
591332;ORANGE;2567293;LTE 2600;14/11/2022;17;17172;4G;2025-10-02T15:15:22;172290426;23;42;32.0;La Plaine des Grands-Champs;R des grands champs;;;17260;17172;45.571111111111115 , -0.6608333333333334;45°34'16''N 0°39'39''W;En service
295740;FREE MOBILE;1673977;LTE 2600;20/10/2016;84;84087;4G;2025-10-02T15:15:22;840990197;17;42;28.0;;5, rue René Descartes;Le Florigège Bât.F;;84100;84087;44.14972222222222 , 4.806388888888889;44°8'59''N 4°48'23''E;En service
428352;ORANGE;443037;LTE 2600;08/10/2013;60;60463;4G;2025-10-02T15:15:22;602290104;38;33;28.0;;av de l'europe;Tour de la Vallée;;60180;60463;49.272777777777776 , 2.481666666666667;49°16'22''N 2°28'54''E;En service
192825;BOUYGUES TELECOM;2989417;UMTS 900;;87;87050;3G;2025-10-02T15:15:22;872750338;26;36;42.0;;stade municipal couzeix;;;87270;87050;45.879444444444445 , 1.2419444444444445;45°52'46''N 1°14'31''E;Projet approuvé
696879;SFR;774591;GSM 900;02/05/2000;33;33203;2G;2025-10-02T15:15:22;332700214;23;12;72.0;Les Genets;23 r des sables;;;33990;33203;45.22222222222222 , -1.1705555555555556;45°13'20''N 1°10'14''W;En service
239816;FREE MOBILE;555164;LTE 2600;15/10/2021;60;60213;4G;2025-10-02T15:15:22;600990367;26;35;72.0;Mer de sable;RN 330-PARC D'ATTRACTION DE LA MER DE SABLE;;;60950;60213;49.143055555555556 , 2.6705555555555556;49°8'35''N 2°40'14''E;En service
559297;ORANGE;1924411;LTE 700;12/02/2024;31;31555;4G;2025-10-02T15:15:22;312290394;17;37;29.0;;36 Bd Riquet;Piscine Léo Lagrange;;31000;31555;43.6075 , 1.4549999999999998;43°36'27''N 1°27'18''E;En service
265467;FREE MOBILE;876366;LTE 900;18/07/2025;9;9149;4G;2025-10-02T15:15:22;90990308;23;24;34.0;Cens;;;;9200;9149;42.94333333333333 , 1.1788888888888889;42°56'36''N 1°10'44''E;En service
773701;SFR;2346514;GSM 900;21/12/2021;13;13041;2G;2025-10-02T15:15:22;132701378;23;12;34.0;;67 PETIT CHEMIN ST ESTEVE;;;13120;13041;43.469166666666666 , 5.480277777777778;43°28'9''N 5°28'49''E;En service
162145;BOUYGUES TELECOM;2593281;UMTS 900;28/02/2024;5;5090;3G;2025-10-02T15:15:22;52750236;23;18;16.0;MONTAGNE DE FAUCHARD;CHEMIN DE LA SISTEROUNE;;;5500;5090;44.728611111111114 , 6.073888888888889;44°43'43''N 6°4'26''E;En service
446771;ORANGE;506592;LTE 1800;02/11/2021;88;88408;4G;2025-10-02T15:15:22;882290021;23;40;32.0;;La Beuille;;;88360;88408;47.96222222222222 , 6.614444444444444;47°57'44''N 6°36'52''E;En service
777773;SFR;2492217;UMTS 900;31/01/2022;16;16164;3G;2025-10-02T15:15:22;162700229;23;38,3;72.0;;ROUTE DE CONFOLENS (D30);;;16490;16164;46.05138888888889 , 0.5969444444444445;46°3'5''N 0°35'49''E;En service
