EXISTING_SITES;3G;4G;5G
1010940;1;1;0
1016710;1;1;0
1059423;1;1;0
1174708;1;1;0
1195758;1;1;0
1198535;1;1;0
1206077;1;1;0
1216418;1;1;0
1272754;1;1;0
1272756;1;1;0
1278012;1;1;0
1280803;1;1;0
1283117;1;1;0
1283918;1;1;0
1284926;1;1;0
1285082;1;1;0
1288898;1;1;0
1289644;1;1;0
1290594;1;1;0
1291917;1;1;0
1293033;1;1;0
1297123;1;1;0
1302469;1;1;0
1302514;1;1;0
1302792;1;1;0
1305975;1;1;0
1318741;1;1;0
1323534;1;1;0
1323536;1;1;0
1324473;1;1;0
1326852;1;1;0
1327176;1;1;0
1353488;1;1;0
1366010;1;1;0
1366274;1;1;0
1377683;1;1;0
1377687;1;1;0
1388807;1;1;0
1398994;1;1;0
1413146;1;1;0
1413460;1;1;0
1415446;1;1;0
1417821;1;1;0
1419434;1;1;0
1422218;1;1;0
1422468;1;1;0
1422610;1;1;0
1422885;1;1;0
1424796;1;1;0
1427464;1;1;0
1434145;1;1;0
1434952;1;1;0
1438809;1;1;0
1440404;1;1;0
1440425;1;1;0
1447454;1;1;0
1447933;1;1;0
1448111;1;1;0
1467469;1;1;0
1472862;1;1;0
1474282;1;1;0
1474419;1;1;0
147611;1;1;0
1482229;1;1;0
1482599;1;1;0
1490172;1;1;0
1494021;1;1;0
1495026;1;1;0
1497151;1;1;0
1506642;1;1;0
1512780;1;1;0
1513850;1;1;0
1514331;1;1;0
1518924;1;1;0
1525214;1;1;0
1530707;1;1;0
1531953;1;1;0
1545202;1;1;0
1546382;1;1;0
1547475;1;1;0
1549923;1;1;0
1551989;1;1;0
1552130;1;1;0
1559185;1;1;0
1567972;1;1;0
1583652;1;1;0
1584350;1;1;0
1586326;1;1;0
1587961;1;1;0
1592338;1;1;0
1597491;1;1;0
1602982;1;1;0
1604074;1;1;0
1604521;1;1;0
1609227;1;1;0
1610382;1;1;0
1623349;1;1;0
1623351;1;1;0
1623353;1;1;0
1623750;1;1;0
1623793;1;1;0
1623859;1;1;0
1624049;1;1;0
1641803;1;1;0
1643610;1;1;0
1645006;1;1;0
1651051;1;1;0
1655676;1;1;0
1658266;1;1;0
1659059;1;1;0
1659254;1;1;0
1662266;1;1;0
1682177;1;1;0
1685125;1;1;0
1685145;1;1;0
1690558;1;1;0
1692137;1;1;0
1693681;1;1;0
1709555;1;1;0
1720257;1;1;0
1724048;1;1;0
1725912;1;1;0
1728070;1;1;0
1737138;1;1;0
1744827;1;1;0
1752032;1;1;0
1754432;1;1;0
1760324;1;1;0
1771954;1;1;0
1779375;1;1;0
1783216;1;1;0
1783497;1;1;0
1784205;1;1;0
1790941;1;1;0
1791560;1;1;0
1798701;1;1;0
1801949;1;1;0
1803927;1;1;0
1803929;1;1;0
1810684;1;1;0
1811421;1;1;0
1818030;1;1;0
1821698;1;1;0
1830770;1;1;0
1831408;1;1;0
1843411;1;1;0
1844421;1;1;0
1848379;1;1;0
1860003;1;1;0
1865083;1;1;0
1867439;1;1;0
1885000;1;1;0
1885469;1;1;0
1890117;1;1;0
1890719;1;1;0
1893014;1;1;0
1895518;1;1;0
1895534;1;1;0
1897314;1;1;0
1897450;1;1;0
1898359;1;1;0
1898363;1;1;0
1898367;1;1;0
1898375;1;1;0
1898384;1;1;0
1899964;1;1;0
1901123;1;1;0
1903044;1;1;0
1903324;1;1;0
1903342;1;1;0
1903346;1;1;0
1904212;1;1;0
1905577;1;1;0
1906082;1;1;0
1906610;1;1;0
1906682;1;1;0
1908145;1;1;0
1909804;1;1;0
1909817;1;1;0
1910227;1;1;0
1910947;1;1;0
1911777;1;1;0
1924440;1;1;0
1925772;1;1;0
1932381;1;1;0
1933567;1;1;0
1934415;1;1;0
1935544;1;1;0
1940170;1;1;0
1944586;1;1;0
1946834;1;1;0
1954211;1;1;0
1954213;1;1;0
1961890;1;1;0
1964234;1;1;0
1966367;1;1;0
1969947;1;1;0
1978805;1;1;0
1978807;1;1;0
1985996;1;1;0
1986988;1;1;0
1992103;1;1;0
1998886;1;1;0
2009051;1;1;0
2012795;1;1;0
2020313;1;1;0
2021450;1;1;0
2022764;1;1;0
2023694;1;1;0
2025121;1;1;0
2027208;1;1;0
2042394;1;1;0
2042542;1;1;0
2044082;1;1;0
2045762;1;1;0
2052093;1;1;0
2052502;1;1;0
2053153;1;1;0
2055632;1;1;0
2057078;1;1;0
2058146;1;1;0
2058156;1;1;0
2060610;1;1;0
2061205;1;1;0
2061817;1;1;0
2067504;1;1;0
2068265;1;1;0
2070086;1;1;0
2072085;1;1;0
2072330;1;1;0
2074797;1;1;0
2075436;1;1;0
2079278;1;1;0
2083782;1;1;0
2087017;1;1;0
2089716;1;1;0
2090803;1;1;0
2091242;1;1;0
2097098;1;1;0
2098352;1;1;0
2098506;1;1;0
2098968;1;1;0
2100300;1;1;0
2101045;1;1;0
2101141;1;1;0
2102727;1;1;0
2104633;1;1;0
2106681;1;1;0
2108647;1;1;0
2114377;1;1;0
2117213;1;1;0
2118911;1;1;0
2121166;1;1;0
2133900;1;1;0
2135271;1;1;0
2135481;1;1;0
2137916;1;1;0
2140058;1;1;0
2140088;1;1;0
2141127;1;1;0
2143153;1;1;0
2144811;1;1;0
2145196;1;1;0
2145245;1;1;0
2146005;1;1;0
2149761;1;1;0
2152376;1;1;0
2152724;1;1;0
2156076;1;1;0
2156159;1;1;0
2164951;1;1;0
2172400;1;1;0
2173478;1;1;0
2180400;1;1;0
2185773;1;1;0
2186231;1;1;0
2195077;1;1;0
2197507;1;1;0
2198936;1;1;0
2199036;1;1;0
2199038;1;1;0
2201607;1;1;0
2201687;1;1;0
2201932;1;1;0
2208813;1;1;0
2210163;1;1;0
2211447;1;1;0
2211523;1;1;0
2212006;1;1;0
2212024;1;1;0
2212401;1;1;0
2214216;1;1;0
2214218;1;1;0
2225686;1;1;0
2226202;1;1;0
2227916;1;1;0
2228730;1;1;0
2235193;1;1;0
2238125;1;1;0
2238127;1;1;0
2239946;1;1;0
2240099;1;1;0
2241968;1;1;0
2254057;1;1;0
2254892;1;1;0
2257556;1;1;0
2257597;1;1;0
2259993;1;1;0
2262979;1;1;0
2264990;1;1;0
2265851;1;1;0
2266475;1;1;0
2280277;1;1;0
2280689;1;1;0
2282288;1;1;0
2289563;1;1;0
2290959;1;1;0
2295715;1;1;0
2300810;1;1;0
2306869;1;1;0
2308408;1;1;0
2308618;1;1;0
2311949;1;1;0
2313320;1;1;0
2313956;1;1;0
2318285;1;1;0
2322280;1;1;0
2322282;1;1;0
2331618;1;1;0
2333289;1;1;0
2335269;1;1;0
2349873;1;1;0
2357536;1;1;0
2358860;1;1;0
2359826;1;1;0
2369950;1;1;0
2377742;1;1;0
2378970;1;1;0
2379404;1;1;0
2380190;1;1;0
2380612;1;1;0
2406574;1;1;0
2416318;1;1;0
2433832;1;1;0
2438235;1;1;0
2458212;1;1;0
2458889;1;1;0
2459770;1;1;0
2463600;1;1;0
2465519;1;1;0
2471028;1;1;0
2473040;1;1;0
2474146;1;1;0
2486292;1;1;0
2488589;1;1;0
2489277;1;1;0
2511535;1;1;0
2512731;1;1;0
2529900;1;1;0
2531539;1;1;0
2531541;1;1;0
2536154;1;1;0
2544177;1;1;0
2547307;1;1;0
2551920;1;1;0
2556870;1;1;0
2557737;1;1;0
2560888;1;1;0
2563410;1;1;0
2570000;1;1;0
2600485;1;1;0
2617670;1;1;0
2624870;1;1;0
2624878;1;1;0
2625478;1;1;0
2625620;1;1;0
2640553;1;1;0
2647568;1;1;0
2676130;1;1;0
2680114;1;1;0
2687203;1;1;0
2687810;1;1;0
2702787;1;1;0
2707100;1;1;0
2724755;1;1;0
2725190;1;1;0
2736523;1;1;0
2751527;1;1;0
2754214;1;1;0
2768190;1;1;0
2775130;1;1;0
2775164;1;1;0
312042;1;1;0
326192;1;1;0
326958;1;1;0
350371;1;1;0
350373;1;1;0
353447;1;1;0
353449;1;1;0
394243;1;1;0
403119;1;1;0
411554;1;1;0
42907;1;1;0
435140;1;1;0
439411;1;1;0
439987;1;1;0
442130;1;1;0
442134;1;1;0
442172;1;1;0
445756;1;1;0
449242;1;1;0
449462;1;1;0
451299;1;1;0
451434;1;1;0
452038;1;1;0
457874;1;1;0
463018;1;1;0
465129;1;1;0
466579;1;1;0
468651;1;1;0
469542;1;1;0
469799;1;1;0
473361;1;1;0
473377;1;1;0
473432;1;1;0
47454;1;1;0
482547;1;1;0
483736;1;1;0
483764;1;1;0
485457;1;1;0
499870;1;1;0
502202;1;1;0
510273;1;1;0
510287;1;1;0
510335;1;1;0
511056;1;1;0
512132;1;1;0
513336;1;1;0
513364;1;1;0
514411;1;1;0
514875;1;1;0
514887;1;1;0
515193;1;1;0
517077;1;1;0
521655;1;1;0
523501;1;1;0
524492;1;1;0
526392;1;1;0
528921;1;1;0
530551;1;1;0
530576;1;1;0
530728;1;1;0
532790;1;1;0
532796;1;1;0
532805;1;1;0
534023;1;1;0
534661;1;1;0
534736;1;1;0
535102;1;1;0
536494;1;1;0
536906;1;1;0
539199;1;1;0
539205;1;1;0
539240;1;1;0
539251;1;1;0
541311;1;1;0
542323;1;1;0
542723;1;1;0
544143;1;1;0
544147;1;1;0
545907;1;1;0
547063;1;1;0
547121;1;1;0
549290;1;1;0
549310;1;1;0
549850;1;1;0
550675;1;1;0
550707;1;1;0
550712;1;1;0
553778;1;1;0
554275;1;1;0
555204;1;1;0
555523;1;1;0
555532;1;1;0
555576;1;1;0
555616;1;1;0
557730;1;1;0
558517;1;1;0
561930;1;1;0
562397;1;1;0
562486;1;1;0
567426;1;1;0
568813;1;1;0
568841;1;1;0
569716;1;1;0
572359;1;1;0
573611;1;1;0
581999;1;1;0
582503;1;1;0
584030;1;1;0
584048;1;1;0
584435;1;1;0
584535;1;1;0
584738;1;1;0
584840;1;1;0
585342;1;1;0
585638;1;1;0
585721;1;1;0
587197;1;1;0
588386;1;1;0
588427;1;1;0
588703;1;1;0
588770;1;1;0
588814;1;1;0
588818;1;1;0
589359;1;1;0
590111;1;1;0
593142;1;1;0
593825;1;1;0
594524;1;1;0
595110;1;1;0
595235;1;1;0
595494;1;1;0
596195;1;1;0
597701;1;1;0
599897;1;1;0
599931;1;1;0
600357;1;1;0
601186;1;1;0
601391;1;1;0
602043;1;1;0
602243;1;1;0
602806;1;1;0
603864;1;1;0
605405;1;1;0
605409;1;1;0
610934;1;1;0
613364;1;1;0
613416;1;1;0
614846;1;1;0
615917;1;1;0
616887;1;1;0
618001;1;1;0
618011;1;1;0
618013;1;1;0
618025;1;1;0
618342;1;1;0
618344;1;1;0
618346;1;1;0
618348;1;1;0
618350;1;1;0
620360;1;1;0
627922;1;1;0
627935;1;1;0
627950;1;1;0
627954;1;1;0
628447;1;1;0
628449;1;1;0
628453;1;1;0
628459;1;1;0
630890;1;1;0
632791;1;1;0
633305;1;1;0
639034;1;1;0
643107;1;1;0
644018;1;1;0
647255;1;1;0
647445;1;1;0
652077;1;1;0
652978;1;1;0
653311;1;1;0
653329;1;1;0
653373;1;1;0
653775;1;1;0
653790;1;1;0
653848;1;1;0
654982;1;1;0
655552;1;1;0
663697;1;1;0
666471;1;1;0
666529;1;1;0
667929;1;1;0
669558;1;1;0
673299;1;1;0
676208;1;1;0
678373;1;1;0
683030;1;1;0
684499;1;1;0
687355;1;1;0
689684;1;1;0
689707;1;1;0
689709;1;1;0
689711;1;1;0
689796;1;1;0
690741;1;1;0
691168;1;1;0
691181;1;1;0
691183;1;1;0
702630;1;1;0
705621;1;1;0
705623;1;1;0
705625;1;1;0
705631;1;1;0
705638;1;1;0
705641;1;1;0
706012;1;1;0
708960;1;1;0
708983;1;1;0
710229;1;1;0
710970;1;1;0
710994;1;1;0
710996;1;1;0
711000;1;1;0
711008;1;1;0
711247;1;1;0
713169;1;1;0
713189;1;1;0
713191;1;1;0
713196;1;1;0
714246;1;1;0
723412;1;1;0
726050;1;1;0
739298;1;1;0
748957;1;1;0
750482;1;1;0
